User ID,Preferred Subjects,Preferred Format,Grade Level,Skills Mastered
Student1,"Chemistry, Economics",Interactive,10,"Problem Solving, Creativity"
Student2,"History, ComputerScience",Interactive,10,"Collaboration, Creativity"
Student3,"Math, Economics",Quiz,12,"Creativity, Critical Thinking"
Student4,"Math, Chemistry",Text,11,"Creativity, Problem Solving"
Student5,"Economics, Art",Quiz,10,"Critical Thinking, Scientific Method"
Student6,"Physics, ComputerScience",Text,10,"Critical Thinking, Creativity"
Student7,"Chemistry, History",Text,6,"Creativity, Scientific Method"
Student8,"Math, Chemistry",Text,11,"Problem Solving, Critical Thinking"
Student9,"ComputerScience, Biology",Quiz,10,"Scientific Method, Problem Solving"
Student10,"History, Biology",Text,12,"Problem Solving, Collaboration"
Student11,"Math, Physics",Interactive,12,"Collaboration, Problem Solving"
Student12,"Art, Physics",Video,9,"Critical Thinking, Collaboration"
Student13,"History, Physics",Quiz,8,"Creativity, Problem Solving"
Student14,"History, Math",Text,9,"Creativity, Scientific Method"
Student15,"Physics, Biology",Interactive,8,"Scientific Method, Coding"
Student16,"Biology, ComputerScience",Interactive,6,"Critical Thinking, Creativity"
Student17,"Chemistry, Art",Interactive,6,"Critical Thinking, Coding"
Student18,"Biology, Chemistry",Interactive,9,"Coding, Scientific Method"
Student19,"Physics, History",Text,8,"Critical Thinking, Collaboration"
Student20,"Math, Art",Text,8,"Collaboration, Critical Thinking"
Student21,"ComputerScience, Art",Interactive,11,"Critical Thinking, Creativity"
Student22,"Art, ComputerScience",Quiz,8,"Collaboration, Creativity"
Student23,"Chemistry, Physics",Quiz,11,"Collaboration, Problem Solving"
Student24,"Art, History",Video,8,"Creativity, Problem Solving"
Student25,"Biology, Economics",Interactive,9,"Collaboration, Scientific Method"
Student26,"History, Art",Quiz,12,"Scientific Method, Problem Solving"
Student27,"Physics, Chemistry",Interactive,6,"Problem Solving, Creativity"
Student28,"History, Biology",Text,7,"Critical Thinking, Scientific Method"
Student29,"History, Economics",Video,9,"Collaboration, Coding"
Student30,"History, ComputerScience",Quiz,9,"Collaboration, Problem Solving"
Student31,"Chemistry, ComputerScience",Video,12,"Critical Thinking, Collaboration"
Student32,"History, Physics",Quiz,6,"Coding, Problem Solving"
Student33,"Physics, History",Text,12,"Collaboration, Coding"
Student34,"ComputerScience, Biology",Quiz,10,"Scientific Method, Coding"
Student35,"Biology, Economics",Quiz,7,"Scientific Method, Collaboration"
Student36,"Economics, Chemistry",Text,12,"Scientific Method, Creativity"
Student37,"Economics, ComputerScience",Text,8,"Collaboration, Critical Thinking"
Student38,"Art, Physics",Interactive,8,"Creativity, Coding"
Student39,"Physics, Economics",Text,7,"Collaboration, Problem Solving"
Student40,"History, Math",Quiz,9,"Creativity, Coding"
Student41,"Economics, History",Video,7,"Collaboration, Scientific Method"
Student42,"Math, Biology",Quiz,9,"Critical Thinking, Creativity"
Student43,"Art, Biology",Quiz,12,"Collaboration, Coding"
Student44,"History, Economics",Text,8,"Collaboration, Scientific Method"
Student45,"Math, History",Interactive,11,"Scientific Method, Collaboration"
Student46,"Chemistry, Biology",Quiz,7,"Coding, Scientific Method"
Student47,"Math, History",Video,6,"Scientific Method, Collaboration"
Student48,"Chemistry, Biology",Quiz,7,"Critical Thinking, Creativity"
Student49,"Biology, Chemistry",Text,9,"Creativity, Scientific Method"
Student50,"Biology, Chemistry",Quiz,8,"Critical Thinking, Collaboration"
Student51,"Math, ComputerScience",Video,8,"Problem Solving, Critical Thinking"
Student52,"Math, Biology",Video,7,"Problem Solving, Critical Thinking"
Student53,"Chemistry, Physics",Text,9,"Scientific Method, Critical Thinking"
Student54,"History, Economics",Interactive,12,"Creativity, Problem Solving"
Student55,"Physics, Biology",Text,8,"Critical Thinking, Coding"
Student56,"Math, Chemistry",Quiz,9,"Scientific Method, Problem Solving"
Student57,"Physics, Art",Text,6,"Scientific Method, Creativity"
Student58,"Physics, Biology",Video,8,"Coding, Collaboration"
Student59,"ComputerScience, Math",Interactive,6,"Collaboration, Scientific Method"
Student60,"Physics, History",Interactive,11,"Collaboration, Problem Solving"
Student61,"Biology, Physics",Interactive,10,"Coding, Collaboration"
Student62,"Economics, History",Interactive,8,"Problem Solving, Critical Thinking"
Student63,"Art, History",Text,12,"Collaboration, Coding"
Student64,"Biology, Chemistry",Video,9,"Creativity, Problem Solving"
Student65,"Economics, Physics",Interactive,12,"Creativity, Scientific Method"
Student66,"Art, Economics",Interactive,10,"Critical Thinking, Coding"
Student67,"History, Math",Text,11,"Collaboration, Scientific Method"
Student68,"History, ComputerScience",Quiz,11,"Scientific Method, Collaboration"
Student69,"Economics, Biology",Video,6,"Creativity, Problem Solving"
Student70,"Biology, ComputerScience",Text,8,"Scientific Method, Coding"
Student71,"ComputerScience, History",Interactive,9,"Scientific Method, Coding"
Student72,"ComputerScience, Chemistry",Quiz,8,"Creativity, Scientific Method"
Student73,"History, Math",Text,8,"Critical Thinking, Coding"
Student74,"Chemistry, Physics",Text,11,"Collaboration, Creativity"
Student75,"Art, Math",Text,8,"Problem Solving, Creativity"
Student76,"Chemistry, Economics",Video,11,"Coding, Problem Solving"
Student77,"Art, Math",Video,10,"Creativity, Problem Solving"
Student78,"Economics, Math",Video,10,"Creativity, Collaboration"
Student79,"Economics, History",Interactive,7,"Critical Thinking, Creativity"
Student80,"Economics, Math",Video,9,"Collaboration, Critical Thinking"
Student81,"Math, Physics",Text,12,"Coding, Creativity"
Student82,"Physics, Economics",Video,10,"Collaboration, Coding"
Student83,"History, Biology",Quiz,9,"Collaboration, Creativity"
Student84,"Biology, Chemistry",Video,10,"Scientific Method, Critical Thinking"
Student85,"History, ComputerScience",Text,8,"Scientific Method, Critical Thinking"
Student86,"Chemistry, Physics",Text,10,"Critical Thinking, Problem Solving"
Student87,"Math, History",Quiz,11,"Coding, Collaboration"
Student88,"Art, Math",Text,8,"Scientific Method, Creativity"
Student89,"Economics, Math",Text,8,"Scientific Method, Coding"
Student90,"History, Economics",Video,10,"Problem Solving, Scientific Method"
Student91,"Art, Biology",Text,6,"Critical Thinking, Problem Solving"
Student92,"Art, Economics",Interactive,9,"Critical Thinking, Collaboration"
Student93,"Art, ComputerScience",Quiz,8,"Coding, Scientific Method"
Student94,"Economics, History",Video,10,"Critical Thinking, Collaboration"
Student95,"ComputerScience, Art",Interactive,6,"Critical Thinking, Problem Solving"
Student96,"Math, Biology",Interactive,10,"Critical Thinking, Problem Solving"
Student97,"Economics, Art",Quiz,8,"Problem Solving, Coding"
Student98,"Biology, ComputerScience",Quiz,6,"Collaboration, Creativity"
